호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원
일산,원당,7707,812,17906,5326,38346,7009,38009,11794,19840,8092,14199,7387,12345,8326,12867,9219,12450,9283,11122,10291,10847,12917,11608,14870,12673,20985,13080,30020,7220,31367,4899,17429,3827,15828,2414,12899
중앙,원덕,337,9,404,152,696,387,701,686,612,553,608,665,507,735,529,628,557,335,647,517,706,571,846,493,708,750,560,591,241,602,130,319,82,382,20,207
수인,원인재,2418,581,5446,1961,11699,4240,12380,6305,6529,3403,4924,3352,4593,3726,4924,4293,5201,4494,4738,4859,4794,5413,5186,6482,5813,8679,6256,13086,3883,9236,3133,6674,3024,6649,1980,4449
일산,원흥,4704,577,11989,5523,30230,6344,31929,10663,16210,7955,10434,5840,9747,5688,9570,7007,9794,8125,8944,8020,8938,9530,9828,11044,11239,16281,12592,25336,5781,25575,4528,13527,4224,12465,2876,9631
경원,월계,4954,1064,7917,2421,20255,6298,17218,7155,10832,4120,8368,4095,7291,4968,7615,5772,7136,6278,7219,5909,7293,7660,8721,9925,7386,10976,7286,16968,4149,15380,2989,8364,2512,7299,1665,5458
6,월곡,5874,852,10649,3528,33338,6615,36482,20431,18500,11735,12300,8795,11275,8430,11259,10004,11534,10359,10999,10655,11099,12788,12259,15406,14571,19224,19417,33078,10188,27235,7370,14658,6053,13710,4381,9532
수인,월곶,1023,355,3148,1372,8227,2079,6314,2737,3328,2423,2424,1939,2487,2397,2698,2507,3075,2620,3009,2647,2918,2950,3476,3264,3797,4816,3727,7181,2748,4870,1948,3231,2025,3344,1233,2318
6,월드컵경기장,1092,1010,2221,2752,7086,4359,8853,7487,5240,6747,4652,7662,5619,9051,5820,9168,6503,10503,8144,11279,10429,10419,12617,8979,12782,8450,11811,10900,7395,8359,5041,4938,4575,3456,3566,2389
경의,월롱,352,47,580,2691,1696,8058,1873,9291,1742,2163,1121,1624,1438,1127,1901,1758,1955,1236,1575,1342,2539,1236,3171,1552,6958,1851,9696,2158,3616,1961,2983,1958,2213,1546,741,1257
"2,3",을지로3가,1352,2190,2675,22075,5586,85372,8972,186868,10148,83485,11867,36163,16038,26661,17605,23982,22118,26743,27243,23642,33410,21753,42089,20905,92690,21759,160264,24055,65355,13242,40343,6655,36206,4885,23849,3407
"2,5",을지로4가,1124,1378,2053,15458,3429,40882,5912,103480,7587,58366,10456,31212,14975,26229,17900,22621,19442,21500,24254,20989,28190,18180,34164,14566,59696,12567,89409,10908,42706,6183,21002,3093,16436,2807,9121,1912
2,을지로입구,1827,1852,2628,22603,6368,104009,9923,230715,11084,115912,13022,51365,18900,40113,22565,32693,29465,33117,35379,29163,45351,26419,54350,25104,119239,27398,194907,28785,83462,15385,75234,8393,43911,7478,23076,5399
경원,응봉,1118,288,2225,1082,5319,1525,5930,2076,3449,1047,2265,966,1880,1159,1815,1302,2031,1575,1908,1811,2015,2154,2364,2644,2405,3256,2352,4362,1461,4301,1104,2086,886,1644,593,1374
6,응암,9885,1075,22032,4983,60159,8416,72133,15946,35455,10684,21027,10866,18745,11344,19496,13608,18971,14234,17324,16393,16916,20434,17126,25176,17674,34584,18196,62587,11415,52406,8858,31568,7257,25947,5337,19778
경부,의왕,5802,1634,11334,6600,26078,20344,24714,21612,10202,6901,7851,5107,7433,5067,7328,5519,7861,6491,7298,6411,7511,7886,9571,9673,18577,14132,19177,22677,9338,20098,6951,11930,5440,9734,2842,7570
경원,의정부,9072,2147,19716,7634,39300,13074,35635,29378,20335,27883,17391,21597,19444,20363,20953,21548,21348,26348,22259,25381,24189,24489,26525,25803,30126,30335,33836,42687,22369,40182,22294,23457,14502,20635,10920,13883
2,이대,2352,1652,5738,10976,15799,9543,19303,26449,12101,21138,9490,16000,9730,13608,12214,14259,13747,16124,13733,15021,16079,14379,21128,14538,28984,17470,26565,24918,16512,18526,13228,10720,12301,10647,9574,8109
"경강,분당",이매,2678,854,6566,3699,15249,7844,14426,13276,8895,6871,6246,4609,6412,4735,6387,5284,6669,5624,6929,5621,6935,6359,8648,7400,12813,10217,12158,13708,6275,11547,4229,6737,3739,5885,2859,5082
7,이수,4650,1077,7207,8209,21727,12695,35241,38478,22079,24978,14353,14209,13626,13253,14672,13819,16134,15530,16879,16226,18135,17384,21045,20300,25821,26047,37699,42929,21043,29785,19090,15938,18823,14073,13708,10258
경강,이천,617,36,1715,1031,4921,4155,4082,5596,2949,3614,2659,2142,2712,2843,2761,2756,2856,2769,2691,2640,3025,2949,3808,3233,4457,4079,5684,5420,3108,4446,2426,3870,1940,2152,785,2430
4,이촌,997,771,3675,7279,10356,12920,13414,22236,8938,11517,5938,6956,5868,6872,6892,7479,7236,8338,7527,8282,8364,8370,12151,9488,14697,11839,18751,16904,8417,12454,5865,7177,6121,5863,3470,4297
경원,이촌,1143,520,3010,2014,6229,3936,7065,7186,5423,4261,4114,2584,3696,2343,4352,2825,4495,3044,4418,3065,4882,3348,6401,3884,8677,4535,8826,6607,5059,5254,3626,3436,3529,2838,2225,2469
6,이태원,2273,980,4074,5801,7700,9088,11252,20169,8552,15719,6418,11593,7132,9835,8118,10653,9221,12108,9485,11693,11793,12485,14833,14359,19005,16847,23792,20807,16863,16148,14041,9924,14769,8409,11171,5875
과천,인덕원,7412,2332,22697,10684,65962,29775,57249,90892,29732,30777,20162,15374,18551,14234,20477,14563,21245,17040,19874,17991,21476,20076,25955,23967,39501,35607,69856,60496,26324,55698,19331,29669,17964,26028,10034,20952
"경인,수인",인천,9685,3312,26771,16485,73662,38863,68501,111061,38284,46496,26580,26967,25683,24069,28595,25216,30466,29148,29359,29684,33269,32561,40788,38326,58506,52454,93648,81303,43187,71846,33372,39593,32733,34437,21205,26827
공항철도 1,인천공항1터미널,1204,2314,1471,6047,2953,11336,5343,16604,4304,5171,1847,3873,2415,6371,2285,5604,3842,4691,4508,4345,7038,3911,6022,4440,11639,5854,14744,2653,5590,2262,4393,2676,4583,1755,2561,957
공항철도 1,인천공항2터미널,570,1283,956,4010,1700,5492,2804,8248,2629,2963,662,2242,940,3336,1269,3741,1793,1928,2154,1468,3896,1490,4117,2271,6014,3001,8768,1087,3566,606,2494,622,2246,734,1289,405
수인,인천논현,1693,599,5030,3580,11348,7008,10507,12021,5586,7105,5109,5186,5381,5252,5835,5509,5631,6434,6062,6244,6349,6597,7038,7547,9250,10528,11014,14314,6470,9502,5752,6191,5734,5286,3476,3721
수인,인하대,2386,358,7409,2269,18421,3702,13275,8283,5869,4591,4959,3430,5098,3578,5741,4742,5694,4752,5641,5176,6218,5673,7281,7158,7658,10800,9302,16814,4845,9657,3690,7056,3526,6795,2593,4752
경의,일산,5789,934,17064,3990,40451,5749,25609,11570,12335,6343,8854,5137,8745,6080,9276,6834,8272,7434,8216,8336,8821,8631,10857,11228,8566,14136,9947,28032,5258,29701,4095,14559,3282,13515,2618,9297
3,일원,1742,1409,6648,7378,17345,23942,17015,20490,11231,14067,10789,12170,11212,8478,10960,9596,10364,10824,11327,8936,14713,8888,17674,7444,25713,10203,13342,15040,7215,12918,4651,7759,3123,7174,2658,6231
경의,임진강,1,1,0,0,0,0,2,1,13,87,67,262,0,0,0,0,0,0,0,0,148,119,120,12,310,99,1,0,0,0,0,0,0,0,0,0
"2,8",잠실,11754,6237,42111,35652,96190,85804,138133,197783,97489,135803,60521,75977,61421,72909,67036,76210,74302,82644,78032,81516,88278,90074,104363,99363,149636,129591,204679,191495,127214,128166,120750,74687,90999,67048,61552,48424
2,잠실나루,2513,1435,9449,8769,31562,20039,36800,32172,22311,20250,15951,13591,15099,11844,14877,14049,14414,14470,15936,13104,17109,12733,21208,13590,25582,19137,25958,32780,12745,24641,8953,13734,6785,12813,4353,9393
2,잠실새내,3986,846,13004,7106,43402,13702,54669,22409,31505,23131,19564,18535,18266,18234,20246,19317,20943,21945,20255,23271,22222,25307,26041,28492,26690,39793,30971,63832,23036,44992,19512,23691,19219,20442,14272,15684
3,잠원,1209,582,4572,4854,10614,7223,14000,9331,8949,6606,5971,4319,5952,4642,6427,5050,6596,5737,5872,5478,6369,6196,7857,6715,9111,9098,8856,14055,6175,10190,4035,5964,3897,5097,2643,4175
7,장승배기,6205,829,10571,3779,26468,7108,37304,15640,20937,9113,11875,7870,10155,7794,10418,8042,11112,9088,10083,9276,10226,12091,11091,13315,11756,18906,14233,29120,7683,24048,5913,13732,5362,13562,3762,9309
7,장암,1301,195,6014,1305,14040,1271,9266,1774,2845,2048,1648,2386,1342,1626,1617,1333,1774,1179,1957,960,2479,934,3153,1003,3263,1261,2934,2414,1605,2708,991,1237,628,877,303,620
8,장지,4407,2013,13494,9163,38722,21389,43730,41386,22762,31057,13530,17049,12959,15595,15173,17494,15700,15578,15555,16823,17672,19862,22558,21531,30119,27022,40510,43106,25786,29273,19743,16361,17399,13570,11860,10526
5,장한평,5874,1036,14672,10563,42988,20237,56945,58825,28245,25819,16387,14170,13876,11992,15563,12150,15784,13110,15604,13882,17424,15882,21838,20111,29849,27234,47407,50778,22443,37100,12204,20236,10385,17477,7059,13418
우이신설,정릉,1936,485,4245,1565,11478,2917,12786,5516,9439,3361,6401,2963,5605,3341,5794,3826,5672,3971,5394,4399,5089,5708,5194,6375,5809,8267,6195,12742,3774,10187,2169,5897,1844,5112,1179,3587
일산,정발산,1622,987,4159,3038,7996,5431,8027,16172,5611,13863,5440,9491,6450,8516,7579,8554,8148,11338,9611,10585,11099,10098,11879,9964,14546,10437,18020,13861,10517,11407,11733,6373,7566,4603,5373,3470
과천,정부과천청사,1451,1537,4727,9961,12209,18525,11690,50349,7819,13209,5873,7854,6397,6049,7106,6548,7696,6879,8658,6865,10085,6552,15864,7459,24355,9642,40111,13632,11615,11862,8873,6338,6990,5388,3615,4022
안산,정왕,5226,287,8139,9826,14148,22488,10695,23206,7538,14811,7149,9674,7136,8039,9172,8822,9799,8533,9120,8938,10697,8741,14655,8112,20114,11826,23535,14642,12072,12517,8603,9420,6366,8584,3163,6127
분당,정자,3057,1026,8075,16568,21189,20060,25658,47639,16853,33812,11728,15282,11709,11080,13082,12332,13340,13678,14592,13053,18093,13815,22560,16751,31902,22731,41491,35469,24606,30074,18455,16659,19791,13355,14896,11061
1,제기동,4394,2332,7556,8183,18973,19508,26777,40143,20477,37570,26103,41521,34935,43704,38761,39245,38866,39392,39808,41925,41926,37596,38213,29379,36950,22654,34461,22933,16182,15374,9483,9108,7975,8182,5558,6163
경인,제물포,6684,1500,12047,4932,31214,10735,26122,20459,14023,10149,10523,7167,10556,6529,10783,8018,10561,8559,10360,8541,11070,8952,14975,11652,15636,16240,18666,22452,8065,23669,5706,14380,4267,12775,2838,9855
1,종각,2630,3801,2927,20527,4765,83220,7135,174753,9549,105246,12550,44121,18639,33221,21036,29504,26294,31819,32707,27339,42055,24423,48905,23231,102782,23687,154909,26281,67338,15051,52091,6424,50758,4243,28961,2508
"1,3,5",종로3가,4651,3831,5972,20005,8050,46301,11540,129861,15623,125185,25344,92956,39042,80356,46849,74979,54412,75584,63520,71711,72194,62226,84074,54658,114258,48379,173269,47500,96812,25891,63297,11898,58941,8965,37927,6024
1,종로5가,1608,3467,2334,13114,3976,34836,6444,89143,9692,58763,16095,42303,23454,37740,26959,35499,31076,33573,36759,33646,41888,29614,46651,23868,63887,19239,86310,16485,40929,8915,24108,4093,18092,3368,10408,2242
"2,92~3단계",종합운동장,2425,1075,7595,6901,21521,12635,26240,24637,17803,13661,10768,8780,9430,8438,10516,9393,11223,10225,11210,10313,11873,11699,14708,13181,18591,18989,22396,30987,12004,21707,8693,12767,8997,11937,6380,9498
